trades_count,buy_count,sell_count,total_volume,t0_profit,date,closing_price,symbol,stock_name
2,0,2,25933.609958506266,76546.46018176753,2024-03-19,7.01,SH600000,浦发银行
2,1,1,27662.51728907339,76862.58051371774,2024-03-20,7.03,SH600000,浦发银行
2,1,1,25069.15629322274,77331.90623985883,2024-03-21,7.1,SH600000,浦发银行
3,1,2,39880.12909174731,77331.90623985883,2024-03-22,7.04,SH600000,浦发银行
4,2,2,55325.03457814662,78446.14552063338,2024-03-25,7.06,SH600000,浦发银行
2,1,1,26894.11403104345,78731.76254844958,2024-03-26,7.15,SH600000,浦发银行
3,2,1,42646.38082065468,79375.09127136336,2024-03-27,7.17,SH600000,浦发银行
3,2,1,35908.07532716241,79592.67612081542,2024-03-28,7.17,SH600000,浦发银行
3,2,1,44951.59059474413,79903.13255235068,2024-03-29,7.13,SH600000,浦发银行
3,2,1,40550.73557148241,80381.29362364455,2024-04-01,7.23,SH600000,浦发银行
3,1,2,36883.35638543111,80381.29362364455,2024-04-02,7.27,SH600000,浦发银行
3,1,2,41493.77593360989,80381.29362364455,2024-04-03,7.23,SH600000,浦发银行
4,2,2,51069.26268751994,81452.7272868002,2024-04-08,7.27,SH600000,浦发银行
3,2,1,40011.85536455241,81714.3514717439,2024-04-09,7.26,SH600000,浦发银行
2,2,0,20362.68633779015,81714.3514717439,2024-04-10,7.27,SH600000,浦发银行
4,2,2,52251.42154602728,82718.33103221722,2024-04-11,7.24,SH600000,浦发银行
4,2,2,55325.034578146704,82718.33103221722,2024-04-12,7.13,SH600000,浦发银行
4,1,3,52251.42154602742,84764.13862404141,2024-04-15,7.3,SH600000,浦发银行
4,2,2,51552.8731296366,84764.13862404141,2024-04-16,7.26,SH600000,浦发银行
4,2,2,52884.224229110645,85633.04066618605,2024-04-17,7.34,SH600000,浦发银行
5,4,1,69650.26674570258,86109.1965642299,2024-04-18,7.33,SH600000,浦发银行
4,1,3,48409.40525587829,87209.31215403428,2024-04-19,7.34,SH600000,浦发银行
4,2,2,53349.14048606999,87209.31215403428,2024-04-22,7.29,SH600000,浦发银行
5,2,3,65237.43660673122,90083.02769114816,2024-04-23,7.34,SH600000,浦发银行
2,1,1,26279.39142461962,90083.02769114816,2024-04-24,7.36,SH600000,浦发银行
3,1,2,43568.464730290434,91191.04843803612,2024-04-25,7.41,SH600000,浦发银行
